Cue,Collection_S12,Collection_S15,Collection_S21,Collection_S22,Collection_S23,Collection_S30,Collection_S34,Collection_S57,Collection_S64,Collection_S65,Collection_S67,Collection_S7,Count_S12,Count_S15,Count_S21,Count_S22,Count_S23,Count_S30,Count_S34,Count_S57,Count_S64,Count_S65,Count_S67,Count_S7
hache,"""bois"", ""le, mort"", ""arbre"", ""forêt"", ""maison""","""bois"", ""travail"", ""transpiration"", ""mouvement"", ""forêt"", ""boire"", ""arbre"", ""feu"", ""chalet""","""bois"", ""urgence"", ""feu"", ""lourd""",,"""travail"", ""construction"", ""dangereux"", ""arme""","""couper"", ""bois"", ""animal, crossing"", ""printemps"", ""être"", ""automne"", ""hiver"", ""saison""","""bois"", ""couper"", ""forêt"", ""cheminée""","""couper"", ""bois"", ""pompier"", ""sauver"", ""chauffer"", ""feu"", ""maison""","""bois"", ""desessemblement"", ""blement"", ""tranche"", ""trancher"", ""tuer""","""halloween"", ""meurtre"", ""violence"", ""sang"", ""crime"", ""outil""","""taper"", ""très, lourd"", ""dangereal"", ""boit"", ""homme""","""couper"", ""bois"", ""cheminée"", ""odeur""",5,9,4,0,4,8,4,7,6,6,5,4
haltere,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
hamecon,"""pêche"", ""poisson"", ""australie"", ""mer"", ""pêche"", ""pêcheur"", ""poissonnerie""","""poisson"", ""pêche"", ""bord, de, lac"", ""bord, de, le, rivière"", ""rivière"", ""eau""","""poisson"", ""pêche"", ""ver"", ""attraper""",,,,,,,,,"""poisson"", ""pêche"", ""douleur"", ""nuire""",7,6,4,0,0,0,0,0,0,0,0,4
harmonica,,,"""vent"", ""grandpere""",,,"""instrument, à, vent"", ""métal"", ""gris"", ""acoustique""","""musique"", ""harmonieux"", ""enfant"", ""air""",,,,,"""musique"", ""jouer"", ""fête"", ""produire, de, le, musique""",0,0,2,0,0,4,4,0,0,0,0,4
heron,"""marais"", ""roseau"", ""grenouille"", ""libellule"", ""asie"", ""oiseau"", ""animal""","""pelican"", ""oiseau"", ""air"", ""voler"", ""oeuf""","""oiseau"", ""long, patte"", ""blanc"", ""jaune"", ""vol""",,,"""héron"", ""voler"", ""flamant, rose"", ""long"", ""bec"", ""blanc"", ""jaune""","""long"", ""bec"", ""blanc"", ""voyage""","""oiseau"", ""blanc"", ""bec"", ""patte"", ""voler"", ""champ""","""flamingo"", ""eau"", ""poisson"", ""lac"", ""nager"", ""voler""","""majestueux"", ""jambe"", ""long"", ""animal"", ""oiseau"", ""aile""",,"""fleuve"", ""poisson"", ""voler"", ""sable""",7,5,5,0,0,7,4,6,6,6,0,4
hyene,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
jante,"""roue"", ""voiture"", ""automobile"", ""mécano"", ""essence"", ""pneu""","""voiture"", ""caoutchouc"", ""route"", ""entretien"", ""argent"", ""coup"", ""taxe""",,,,"""rouler"", ""pneu"", ""voiture"", ""moto""","""voiture"", ""joli"", ""aluminium""","""roue"", ""voiture"", ""rouler"", ""accident"", ""volant"", ""permettre, de, conduire"", ""théorie""","""roue"", ""pneu"", ""voiture"", ""véhicule"", ""chemin"", ""avenue"", ""marathon""","""voiture"", ""mécanique"", ""instrument"", ""outil""","""roue"", ""voiture"", ""très, cher"", ""montage""","""rouler"", ""voiture"", ""route"", ""protection""",6,7,0,0,0,4,3,7,7,4,4,4
lama,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
litchi,"""bubbl, tea"", ""boisson"", ""fruit"", ""italie"", ""blanc""","""fruit"", ""bon"", ""sucrer"", ""alcool"", ""cidre"", ""dessert"", ""bon""","""fruit"", ""exotique"", ""thailand"", ""sucrer"", ""mango"", ""papaya""","""fruit"", ""manger"", ""boire"", ""saveur""",,"""bon"", ""tropical"", ""ramboutan"", ""fruit"", ""légume"", ""graine""","""fruit"", ""asiatique"", ""succulent"", ""juteux""","""jus"", ""boire"", ""vitamine"", ""fruit"", ""pomme"", ""poire"", ""banane"", ""fraise""","""fruit"", ""dragon"", ""fruit, de, mer""","""fruit"", ""bon"", ""sucrer"", ""exotique"", ""petit"", ""blanc"", ""visqueux""",,"""fruit"", ""exotique"", ""thailand"", ""sucrer"", ""mango"", ""papaya""",5,7,6,4,0,6,4,8,3,7,0,6
louche,,,,,,,,"""soupe"", ""cantine"", ""parascolaire"", ""vitamine"", ""manger"", ""boire"", ""pain""",,,,,0,0,0,0,0,0,0,7,0,0,0,0
loupe,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
lynx,"""montagne"", ""chat"", ""félin"", ""chasseur"", ""dent"", ""souris""","""hyene"", ""sauvage"", ""dangereux"", ""forêt"", ""afrique""","""poilu"", ""prédateur"", ""chaton"", ""félin""","""animal"", ""chat"", ""mignon"", ""oreille""","""chat"", ""animal"", ""sauvage"", ""félin"", ""prédateur""","""felin"", ""tigre"", ""lion"", ""savane"", ""forêt"", ""désert"", ""jungle""","""dent"", ""pointue"", ""collar"", ""chasse"", ""rapide""","""félin"", ""chat"", ""lion"", ""guépard"", ""panthère"", ""jaguar"", ""safari""","""sphinx"", ""chat"", ""tigre"", ""lion"", ""animal""","""félin"", ""suisse"", ""rare"", ""disparition"", ""petit"", ""beau""","""vicieux"", ""zoo, parc"", ""sauvage"", ""très, vite""","""chat"", ""felin"", ""oreille"", ""patte""",6,5,4,4,5,7,5,7,5,6,4,4
maraca,,,,,,,,"""danser"", ""chanter"", ""jouer, de, le, musique"", ""composer"", ""note, de, musique""",,,,,0,0,0,0,0,0,0,5,0,0,0,0
