Cue,Subject,Count,Collection
['celeri'],S7,0,[]
['celeri'],S12,0,[]
['celeri'],S15,0,[]
['celeri'],S21,0,[]
['celeri'],S22,0,[]
['celeri'],S23,0,[]
['celeri'],S30,0,[]
['celeri'],S34,0,[]
['celeri'],S57,7,"[""['salade']"", ""['mager']"", ""['sauce']"", ""['legume']"", ""['vert']"", ""['planter']"", ""['plantation']""]"
['celeri'],S64,0,[]
['celeri'],S65,0,[]
['celeri'],S67,4,"[""['tre', 'bon', 'pour', 'le', 'santé']"", ""['soupe']"", ""['quiche']"", ""['degoutant']""]"
['chalumeau'],S7,4,"[""['feu']"", ""['bois']"", ""['odeur']"", ""['chaminet']""]"
['chalumeau'],S12,5,"[""['marshmellow']"", ""['cuisine']"", ""['chauffer']"", ""['le', 'feu']"", ""['bruler']""]"
['chalumeau'],S15,0,[]
['chalumeau'],S21,0,[]
['chalumeau'],S22,0,[]
['chalumeau'],S23,0,[]
['chalumeau'],S30,4,"[""['feu']"", ""['cuire']"", ""['chaleur']"", ""['manger']""]"
['chalumeau'],S34,4,"[""['feu']"", ""['chaud']"", ""['dangereux']"", ""['ga']""]"
['chalumeau'],S57,8,"[""['chimie']"", ""['camping']"", ""['allumer']"", ""['feu']"", ""['se', 'rechauffer']"", ""['allumette']"", ""['briquet']"", ""['fumer']""]"
['chalumeau'],S64,6,"[""['flame']"", ""['allumette']"", ""['briquet']"", ""['cigarette']"", ""['rouler']"", ""['tabac']""]"
['chalumeau'],S65,0,[]
['chalumeau'],S67,0,[]
['charniere'],S7,4,"[""['porte']"", ""['ouvrir']"", ""['vis']"", ""['accrocher']""]"
['charniere'],S12,5,"[""['porte']"", ""['moment', 'charniere']"", ""['serrure']"", ""['poignée', 'de', 'porte']"", ""['bois']""]"
['charniere'],S15,0,[]
['charniere'],S21,4,"[""['usine']"", ""['porte']"", ""['mechanism']"", ""['cuir']""]"
['charniere'],S22,0,[]
['charniere'],S23,0,[]
['charniere'],S30,0,[]
['charniere'],S34,0,[]
['charniere'],S57,0,[]
['charniere'],S64,0,[]
['charniere'],S65,0,[]
['charniere'],S67,0,[]
['chat'],S7,3,"[""['nourriture']"", ""['chien']"", ""['mettre']""]"
['chat'],S12,6,"[""['canapé']"", ""['animal']"", ""['chien']"", ""['compagnie']"", ""['griffe']"", ""['blessure']""]"
['chat'],S15,6,"[""['lit']"", ""['poil']"", ""['amour']"", ""['calin']"", ""['nouritture']"", ""['litière']""]"
['chat'],S21,4,"[""['poil']"", ""['animal']"", ""['felin']"", ""['mammifere']""]"
['chat'],S22,4,"[""['petit']"", ""['mignon']"", ""['animal']"", ""['gentil']""]"
['chat'],S23,4,"[""['jouer']"", ""['animal']"", ""['felin']"", ""['mignon']""]"
['chat'],S30,5,"[""['felin']"", ""['mammifere']"", ""['chien']"", ""['fourrure']"", ""['poil']""]"
['chat'],S34,0,[]
['chat'],S57,4,"[""['chaton']"", ""['beau']"", ""['mignon']"", ""['adorable']""]"
['chat'],S64,5,"[""['chien']"", ""['animal']"", ""['domestique']"", ""['maison']"", ""['meuble']""]"
['chat'],S65,3,"[""['animal']"", ""['felin']"", ""['mignon']""]"
['chat'],S67,1,"[""['instr']""]"
['chaussette'],S7,0,[]
['chaussette'],S12,0,[]
['chaussette'],S15,0,[]
['chaussette'],S21,0,[]
['chaussette'],S22,0,[]
['chaussette'],S23,0,[]
['chaussette'],S30,0,[]
['chaussette'],S34,0,[]
['chaussette'],S57,0,[]
['chaussette'],S64,0,[]
['chaussette'],S65,0,[]
['chaussette'],S67,0,[]
['chevalet'],S7,5,"[""['dessin']"", ""['artiste']"", ""['peintre']"", ""['toile']"", ""['pincal']""]"
['chevalet'],S12,6,"[""['canva']"", ""['le', 'peinture']"", ""['artiste']"", ""['artiste']"", ""['acriliqu']"", ""['pincal']""]"
['chevalet'],S15,0,[]
['chevalet'],S21,0,[]
['chevalet'],S22,0,[]
['chevalet'],S23,0,[]
['chevalet'],S30,7,"[""['peindre']"", ""['reinassance']"", ""['leonardo', 'da', 'vinci']"", ""['toile']"", ""['blanc']"", ""['art']"", ""['artiste']""]"
['chevalet'],S34,3,"[""['peinture']"", ""['couleur']"", ""['paysage']""]"
['chevalet'],S57,8,"[""['dessiner']"", ""['peindre']"", ""['peinture']"", ""['histoire', 'de', 'lart']"", ""['observer']"", ""['musee']"", ""['peinture']"", ""['pincal']""]"
['chevalet'],S64,5,"[""['toile']"", ""['peinture']"", ""['art']"", ""['brosee']"", ""['van', 'gogh']""]"
['chevalet'],S65,7,"[""['peinture']"", ""['huil']"", ""['tableau']"", ""['fresque']"", ""['art']"", ""['picasso']"", ""['modern']""]"
['chevalet'],S67,5,"[""['dessiner']"", ""['acril']"", ""['paysage']"", ""['portrer']"", ""['artiste']""]"
['cintre'],S7,0,[]
['cintre'],S12,0,[]
['cintre'],S15,0,[]
['cintre'],S21,0,[]
['cintre'],S22,0,[]
['cintre'],S23,0,[]
['cintre'],S30,0,[]
['cintre'],S34,0,[]
['cintre'],S57,0,[]
['cintre'],S64,0,[]
['cintre'],S65,0,[]
['cintre'],S67,0,[]
